Name;Price;Tags
Fruit;0,3;Healthy food, fridge
Skyr;1;Healthy food, fridge
Greek yoghurt;1;Healthy food, fridge
Yosa;0,8;Healthy food, fridge
Yosa Sport;1,4;Healthy food, fridge
Alpro soya yoghurt;0,6;Healthy food, fridge
Alpro greek style;0,9;Healthy food, fridge
Alpro chocolate pudding;0,7;Healthy food, fridge
A+ musli yoghurt;1,3;Healthy food, fridge
Propud;2;Healthy food, fridge
Cottage cheese;1,8;Healthy food, fridge
Vihis;1;Healthy food, fridge
Elovena bar;0,3;Snacks
Alpen or Fitness bar;0,5;Snacks
Canned pineapple;0,6;Snacks
Noodles;0,5;Snacks
Noodles in a cup;1,5;Snacks
Canned tuna;1,3;Snacks
Elovena porridge;0,4;Snacks
Pringles can;1;Snacks
Micro popcorn;0,4;Snacks
Piltti baby food;0,4;Snacks
White chocolate cashew nuts;2,3;Snacks
Cashews;2;Snacks
Nut and fruit/berry mix;1,8;Snacks
Tupla protein bar;2;Snacks
Lämmin kuppi cup-a-soup;0,6;Snacks
Snack Pot;1,4;Snacks
Tupla;0,6;Sweets
Mars, Twix, Snickers & Daim;0,5;Sweets
Pätkis, Suffeli, Dacapo, Ahaa, Jim, Kinder maxi, Milkyway;0,4;Sweets
Sukulaku, Muumilaku;0,3;Sweets
Kismet;0,6;Sweets
Kinder Bueno;0,9;Sweets
Fazer bar;0,6;Sweets
Fazer bar medium;1,8;Sweets
Fazer bar large;3;Sweets
Fazer small chocolate;0,1;Sweets
Pepe liquorice;0,4;Sweets
Kismet mini;0,1;Sweets
Soda;1;Drinks
Novelle, bottle, 0,5l;2;Drinks
Sparkling water can;1;Drinks
Alpro Soya chocolate drink;1;Drinks
Oatly chocolate drink;1;Drinks
Froosh smoothie;2,2;Drinks
Marli smoothie;1,5;Drinks
Frezza;2;Drinks
Falafel Marrakesh;3,5;Freezer
Thai Cube;3,5;Freezer
Billys pizza;1,7;Freezer
Saarioinen pizza;1;Freezer
Saarioinen veggie pizza;1,2;Freezer
Ingman cone;0,6;Freezer
Magnum mini / Pirulo;0,6;Freezer
Ville Vallaton / Eskimo;0,3;Freezer
Kingis / Mars / Snickers / Twix sandwich;0,7;Freezer
Puffet / Magnum vegan;1;Freezer